ID		f_475		ivar_475		f_814		ivar_814		f_1600		ivar_1600		z
J1341_00	2.16390618352	85.4246357108	2.23061693487	80.3914757751	1.1295773222	313.493154436	0.658
J1341_01	6.1986749618	10.4102764697	7.61240332808	6.90265885998	3.17709474335	39.6277723392	0.658
J1341_02	6.87885461374	8.45332818657	8.46029062207	5.5884250097	4.27264612584	21.9111989411	0.658
J1341_03	4.11004644042	23.6791731434	4.43452582844	20.3406868525	4.1208050035	23.5556917736	0.658
J1341_04	1.75902712884	129.275110116	2.33650883749	73.2698218008	3.44399201865	33.7237389385	0.658
J1341_05	0.861860742077	538.500106342	1.27049234635	247.808320926	2.69606068108	55.0301460943	0.658
J1341_06	0.534422319061	1400.52484264	0.852616131133	550.240941034	2.12153316404	88.8710560994	0.658
J1341_07	0.39192945101	2604.01926546	0.69100315444	837.722020345	1.60894795921	154.516903675	0.658
J1341_08	0.32386872552	3813.48433564	0.600496410893	1109.27483144	1.19317380137	280.965226761	0.658
J1341_09	0.264424094698	5720.81546474	0.516586998105	1498.9013431	0.979450523587	416.960568205	0.658
J1341_10	0.215582950447	8606.59107153	0.448357869271	1989.80445155	0.849300459167	554.54561251	0.658
J1341_11	0.183121240809	11928.4096804	0.40994089927	2380.22215013	0.777042834398	662.475881242	0.658
J1341_12	0.158496255033	15922.8931609	0.3756061733	2835.27082018	0.727081751353	756.647326728	0.658
J1341_13	0.13941064184	20581.0789189	0.34505263165	3359.61338809	0.672195323674	885.256282678	0.658
J1341_14	0.126078203144	25164.0170058	0.31963678497	3915.13267497	0.616420697345	1052.70228698	0.658
J1341_15	0.119093683599	28202.1705559	0.295452769474	4582.3036091	0.560212764224	1274.54153139	0.658
J1341_16	0.113109994927	31264.9706634	0.282410176961	5015.32759022	0.508063714943	1549.6143607	0.658
J1341_17	0.109631633686	33280.3756451	0.264898872851	5700.327011	0.46453795613	1853.60666226	0.658
J1341_18	0.11313600793	31250.5950055	0.237885295602	7068.45985301	0.433434432531	2129.18389682	0.658
J1341_19	0.110163466597	32959.8179197	0.217063837257	8489.55720201	0.409880500724	2380.92368411	0.658
J1341_20	0.103588906911	37276.3594277	0.194788396048	10542.262561	0.393219686933	2586.95863899	0.658
J1341_21	0.0993342109049	40537.9981941	0.185836641654	11582.3662637	0.381187012341	2752.8579446	0.658
J1341_22	0.0968838442413	42614.4871024	0.17591094322	12926.3013625	0.366166526381	2983.33972482	0.658
J1341_23	0.0939131088119	45353.1604912	0.164038871705	14865.0523988	0.346450595108	3332.55532467	0.658
J1341_24	0.0887272853977	50809.5796837	0.162902511169	15073.1643038	0.324760066669	3792.57997437	0.658
J1341_25	0.0812193458158	60637.4622236	0.158476444832	15926.8742627	0.306490987475	4258.18547838	0.658
J1341_26	0.0793535251819	63522.4942072	0.148064487258	18245.6011651	0.288140138417	4817.84108027	0.658
J1341_27	0.0752598174273	70620.9687049	0.146603744222	18611.0067611	0.27193221248	5409.27024243	0.658
J1341_28	0.0754434199431	70277.6542054	0.139720769414	20489.8158025	0.260608832921	5889.5447859	0.658
J1341_29	0.0738366467094	73369.5847925	0.144734493171	19094.8346511	0.249588771053	6421.1069866	0.658
J1341_30	0.073133054819	74788.1106918	0.142858314156	19599.6785996	0.237815733934	7072.59554044	0.658
J1341_31	0.0715731089494	78083.6717052	0.130686852898	23420.5015824	0.22623530001	7815.18479519	0.658
J1341_32	0.0734545206628	74134.9387793	0.126345068246	25057.8267769	0.216534271623	8531.13284024	0.658
J1341_33	0.0670009691064	89104.1276078	0.118117889267	28670.0622584	0.208202104489	9227.62126742	0.658
J1341_34	0.0646740924131	95631.1339741	0.118732617701	28373.9569656	0.198944453349	10106.3962185	0.658
J1341_35	0.0665041099673	90440.5136225	0.116758157102	29341.7172893	0.189942672333	11087.0218543	0.658
J1341_36	0.0585074530715	116852.391593	0.111526389642	32159.1606087	0.182552116732	12002.901585	0.658
J1341_37	0.0609305900174	107743.039749	0.115860232956	29798.2799909	0.175982519729	12915.7885982	0.658
J1341_38	0.0613133552586	106402.008466	0.111873841079	31959.7146065	0.167504042826	14256.3846444	0.658
J1341_39	0.0530650550366	142050.495621	0.10353939689	37312.0172471	0.156750865335	16279.4638361	0.658
